eta_D,eta_H,d_cap,h_cap,best_Gini,n_feasible,Variant,Instance
0.01,0.0,265.554048,202.0,0.1824,10,FULL,r102C10
0.03,0.0,270.812544,202.0,0.1824,10,FULL,r102C10
0.05,0.0,276.07104000000004,202.0,0.1824,10,FULL,r102C10
0.1,0.0,289.21728,202.0,0.1824,10,FULL,r102C10
0.0,0.05,262.9248,212.10000000000002,0.1824,10,FULL,r102C10
0.01,0.05,265.554048,212.10000000000002,0.1824,10,FULL,r102C10
0.03,0.05,270.812544,212.10000000000002,0.1824,10,FULL,r102C10
0.05,0.05,276.07104000000004,212.10000000000002,0.1824,10,FULL,r102C10
0.1,0.05,289.21728,212.10000000000002,0.1824,10,FULL,r102C10
0.0,0.0,412.7823,186.1505,,0,FULL,r102C15
0.01,0.0,416.910123,186.1505,,0,FULL,r102C15
0.03,0.0,425.165769,186.1505,,0,FULL,r102C15
0.05,0.0,433.421415,186.1505,,0,FULL,r102C15
0.1,0.0,454.0605300000001,186.1505,,0,FULL,r102C15
0.0,0.05,412.7823,195.458025,,0,FULL,r102C15
0.01,0.05,416.910123,195.458025,,0,FULL,r102C15
0.03,0.05,425.165769,195.458025,,0,FULL,r102C15
0.05,0.05,433.421415,195.458025,0.1315,21,FULL,r102C15
0.1,0.05,454.0605300000001,195.458025,0.0388,64,FULL,r102C15
0.0,0.0,1441.851,219.8617,,0,FULL,r102_21
0.01,0.0,1456.26951,219.8617,,0,FULL,r102_21
0.03,0.0,1485.1065300000002,219.8617,,0,FULL,r102_21
0.05,0.0,1513.9435500000002,219.8617,,0,FULL,r102_21
0.1,0.0,1586.0361000000003,219.8617,0.0567,3,FULL,r102_21
0.0,0.05,1441.851,230.85478500000002,,0,FULL,r102_21
0.01,0.05,1456.26951,230.85478500000002,,0,FULL,r102_21
0.03,0.05,1485.1065300000002,230.85478500000002,0.1071,17,FULL,r102_21
0.05,0.05,1513.9435500000002,230.85478500000002,0.0927,56,FULL,r102_21
0.1,0.05,1586.0361000000003,230.85478500000002,0.0469,179,FULL,r102_21
0.0,0.0,206.1216,188.0,,0,FULL,r103C10
0.01,0.0,208.182816,188.0,,0,FULL,r103C10
0.03,0.0,212.305248,188.0,,0,FULL,r103C10
0.05,0.0,216.42768,188.0,0.0055,30,FULL,r103C10
0.1,0.0,226.73376000000002,188.0,0.0001,45,FULL,r103C10
0.0,0.05,206.1216,197.4,,0,FULL,r103C10
0.01,0.05,208.182816,197.4,,0,FULL,r103C10
0.03,0.05,212.305248,197.4,,0,FULL,r103C10
0.05,0.05,216.42768,197.4,0.0055,30,FULL,r103C10
0.1,0.05,226.73376000000002,197.4,0.0001,49,FULL,r103C10
0.0,0.0,1248.9006,219.8617,,0,FULL,r103_21
0.01,0.0,1261.389606,219.8617,,0,FULL,r103_21
0.03,0.0,1286.367618,219.8617,,0,FULL,r103_21
0.05,0.0,1311.34563,219.8617,,0,FULL,r103_21
0.1,0.0,1373.7906600000001,219.8617,0.0554,9,FULL,r103_21
0.0,0.05,1248.9006,230.85478500000002,,0,FULL,r103_21
0.01,0.05,1261.389606,230.85478500000002,0.0858,3,FULL,r103_21
0.03,0.05,1286.367618,230.85478500000002,0.0609,52,FULL,r103_21
0.05,0.05,1311.34563,230.85478500000002,0.0464,100,FULL,r103_21
0.1,0.05,1373.7906600000001,230.85478500000002,0.0202,227,FULL,r103_21
0.0,0.0,136.6897,194.3848,0.0579,10,FULL,r104C5
0.01,0.0,138.05659699999998,194.3848,0.0579,10,FULL,r104C5
0.03,0.0,140.790391,194.3848,0.0488,20,FULL,r104C5
0.05,0.0,143.524185,194.3848,0.0488,20,FULL,r104C5
0.1,0.0,150.35867,194.3848,0.0005,30,FULL,r104C5
0.0,0.05,136.6897,204.10404000000003,0.0579,10,FULL,r104C5
0.01,0.05,138.05659699999998,204.10404000000003,0.0579,10,FULL,r104C5
0.03,0.05,140.790391,204.10404000000003,0.0488,20,FULL,r104C5
0.05,0.05,143.524185,204.10404000000003,0.0488,20,FULL,r104C5
0.1,0.05,150.35867,204.10404000000003,0.0005,30,FULL,r104C5
0.0,0.0,1070.0485,219.8617,,0,FULL,r104_21
0.01,0.0,1080.7489850000002,219.8617,,0,FULL,r104_21
0.03,0.0,1102.149955,219.8617,0.0631,1,FULL,r104_21
0.05,0.0,1123.5509250000002,219.8617,0.055,4,FULL,r104_21
0.1,0.0,1177.0533500000001,219.8617,0.0263,26,FULL,r104_21
0.0,0.05,1070.0485,230.85478500000002,,0,FULL,r104_21
0.01,0.05,1080.7489850000002,230.85478500000002,,0,FULL,r104_21
0.03,0.05,1102.149955,230.85478500000002,0.0631,19,FULL,r104_21
0.05,0.05,1123.5509250000002,230.85478500000002,0.0525,67,FULL,r104_21
0.1,0.05,1177.0533500000001,230.85478500000002,0.0244,231,FULL,r104_21
0.0,0.0,336.1536,199.541,,0,FULL,r105C15
0.01,0.0,339.515136,199.541,,0,FULL,r105C15
0.03,0.0,346.238208,199.541,,0,FULL,r105C15
0.05,0.0,352.96128,199.541,0.038,24,FULL,r105C15
0.1,0.0,369.76896,199.541,0.0269,36,FULL,r105C15
0.0,0.05,336.1536,209.51805000000002,,0,FULL,r105C15
0.01,0.05,339.515136,209.51805000000002,0.1599,10,FULL,r105C15
